Date,Day,Month,Quarter,Year,Open,High,Low,Close,Adj Close,Volume
27-02-2024,Tuesday,February,Q1,2024,595,605.359985,592.330017,601.669983,601.669983,4489400
26-02-2024,Monday,February,Q1,2024,583.559998,590.75,583.27002,587.650024,587.650024,2393700
23-02-2024,Friday,February,Q1,2024,586.400024,592.429993,579.820007,583.559998,583.559998,2568900
22-02-2024,Thursday,February,Q1,2024,582.75,590.849976,578.890015,588.469971,588.469971,3526600
21-02-2024,Wednesday,February,Q1,2024,573.51001,575.780029,567.320007,573.349976,573.349976,2281100
20-02-2024,Tuesday,February,Q1,2024,580.179993,586,569.659973,575.130005,575.130005,3124200
16-02-2024,Friday,February,Q1,2024,596.950012,597,577.460022,583.950012,583.950012,4323600
15-02-2024,Thursday,February,Q1,2024,581.909973,593.77002,580.320007,593.460022,593.460022,5220900
14-02-2024,Wednesday,February,Q1,2024,567.26001,581.25,564.340027,579.330017,579.330017,5634200
13-02-2024,Tuesday,February,Q1,2024,550.799988,559.200012,549,554.52002,554.52002,3511500
12-02-2024,Monday,February,Q1,2024,560.359985,568.440002,557,557.849976,557.849976,3608500
09-02-2024,Friday,February,Q1,2024,565,566,558.099976,561.320007,561.320007,3055700
08-02-2024,Thursday,February,Q1,2024,560.549988,563.700012,555.73999,558.530029,558.530029,3175500
07-02-2024,Wednesday,February,Q1,2024,558.159973,567.799988,554.97998,559.299988,559.299988,4373600
06-02-2024,Tuesday,February,Q1,2024,564.119995,566.340027,554.369995,555.880005,555.880005,2840300
05-02-2024,Monday,February,Q1,2024,562.469971,575.75,557.200012,562.059998,562.059998,4143100
02-02-2024,Friday,February,Q1,2024,564.52002,567.799988,562.369995,564.640015,564.640015,4030800
01-02-2024,Thursday,February,Q1,2024,567.02002,572.659973,563.830017,567.51001,567.51001,3174000
31-01-2024,Wednesday,January,Q1,2024,562.849976,572.150024,562.039978,564.109985,564.109985,4857600
30-01-2024,Tuesday,January,Q1,2024,567.320007,570.880005,560.820007,562.849976,562.849976,6181800
29-01-2024,Monday,January,Q1,2024,571.349976,578.549988,562.679993,575.789978,575.789978,6905400
26-01-2024,Friday,January,Q1,2024,561.809998,579.640015,558.429993,570.419983,570.419983,12770600
25-01-2024,Thursday,January,Q1,2024,551.950012,563.460022,548.460022,562,562,9451900
24-01-2024,Wednesday,January,Q1,2024,537.75,562.5,537.070007,544.869995,544.869995,26432800
23-01-2024,Tuesday,January,Q1,2024,492,498.959991,481.399994,492.190002,492.190002,15506000
22-01-2024,Monday,January,Q1,2024,487.549988,489.799988,479.899994,485.709991,485.709991,5212300
19-01-2024,Friday,January,Q1,2024,484.980011,485.670013,476.059998,482.950012,482.950012,5665600
18-01-2024,Thursday,January,Q1,2024,480.029999,485.769989,478.019989,485.309998,485.309998,4054400
17-01-2024,Wednesday,January,Q1,2024,484.5,486.209991,475.26001,480.329987,480.329987,4894600
16-01-2024,Tuesday,January,Q1,2024,490,494.149994,478.019989,481.23999,481.23999,4679000
12-01-2024,Friday,January,Q1,2024,500.51001,500.790009,490.609985,492.160004,492.160004,4996600
11-01-2024,Thursday,January,Q1,2024,492.540009,503.410004,483.820007,492.230011,492.230011,7993300
10-01-2024,Wednesday,January,Q1,2024,481.600006,487,472.950012,478.329987,478.329987,4342400
09-01-2024,Tuesday,January,Q1,2024,475.529999,485.089996,473.799988,482.089996,482.089996,3526800
08-01-2024,Monday,January,Q1,2024,473.890015,485.23999,473.649994,485.029999,485.029999,3675800
05-01-2024,Friday,January,Q1,2024,476.5,479.549988,471.799988,474.059998,474.059998,2612500
04-01-2024,Thursday,January,Q1,2024,472.980011,480.73999,466.529999,474.670013,474.670013,3636500
03-01-2024,Wednesday,January,Q1,2024,467.320007,475.049988,465.769989,470.26001,470.26001,3443700
02-01-2024,Tuesday,January,Q1,2024,483.190002,484.649994,461.859985,468.5,468.5,5049400
29-12-2023,Friday,December,Q4,2023,490.369995,492.230011,481.940002,486.880005,486.880005,2739500
28-12-2023,Thursday,December,Q4,2023,492,492.890015,489.070007,490.51001,490.51001,1710500
27-12-2023,Wednesday,December,Q4,2023,491.23999,494.019989,489.25,491.790009,491.790009,2561300
26-12-2023,Tuesday,December,Q4,2023,489.390015,491.480011,486.380005,491.190002,491.190002,2034500
22-12-2023,Friday,December,Q4,2023,494,496.019989,485.450012,486.76001,486.76001,2701100
21-12-2023,Thursday,December,Q4,2023,492.660004,494.399994,486.769989,491.609985,491.609985,2756200
20-12-2023,Wednesday,December,Q4,2023,492,500.890015,488.390015,489.269989,489.269989,4563700
19-12-2023,Tuesday,December,Q4,2023,488.399994,496.140015,484.059998,495.019989,495.019989,3849000
18-12-2023,Monday,December,Q4,2023,476.299988,492.040009,475.100006,486.119995,486.119995,6410700
15-12-2023,Friday,December,Q4,2023,467.299988,473,467.299988,472.059998,472.059998,7838300
14-12-2023,Thursday,December,Q4,2023,480.359985,480.76001,464.76001,469.829987,469.829987,5176400
13-12-2023,Wednesday,December,Q4,2023,461.980011,481.25,461.980011,479.980011,479.980011,5820200
